IFA-100 Fiber Index Profiler Version 8.0 Build 20 Output file
Data acquired on Oct 07, 2015  2:20 PM
IFA-100 Serial Number 02280  Data filename: 6AW0058_10TH OCT.txt
Fiber Rotation Angle = 0deg Frame rate = 18.6 Axial position = 0 microns
Microns per pixel = 0.153 Axial zone height = 80 microns
Frame size = 1384 horizontal pixels
Lambda cal = -0.034214         3.5741        -139.71         2447.8
Center Offset = 0.0 microns and Selected Fiber Diameter = 125 microns
Refractive index units are delta-n
radius (um)	633
57.192	-0.00084869	
57.345	-0.0008496	
57.498	-0.000850586	
57.651	-0.000851658	
57.804	-0.000852682	
57.957	-0.000853555	
58.11	-0.000854159	
58.263	-0.000854579	
58.415	-0.000854881	
58.568	-0.000855197	
58.721	-0.000855619	
58.874	-0.000856192	
59.027	-0.000856763	
59.18	-0.000857066	
59.333	-0.000856885	
59.486	-0.000856171	
59.639	-0.000855041	
59.792	-0.000853607	
59.945	-0.000851941	
60.098	-0.000850059	
60.25	-0.000848008	
60.403	-0.000845849	
60.556	-0.000843444	
60.709	-0.000840623	
60.862	-0.000837088	
61.015	-0.000832685	
61.168	-0.000827042	
61.321	-0.00081968	
61.474	-0.00080965	
61.627	-0.000795715	
61.78	-0.000776139	
61.933	-0.000748872	
62.086	-0.000711603	
62.238	-0.000662318	
62.391	-0.000599825	
62.544	-0.000524502	
62.697	-0.000438557	
62.85	-0.000346296	
63.003	-0.000253615	
63.156	-0.000167306	
63.309	-9.34659e-005	
63.462	-3.62729e-005	
63.615	3.00476e-006	
63.768	2.57268e-005	
63.921	3.52877e-005	
64.073	3.57801e-005	
64.226	3.11739e-005	
64.379	2.4501e-005	
64.532	1.79106e-005	
64.685	1.25242e-005	
64.838	8.72278e-006	
64.991	6.17981e-006	
65.144	4.23918e-006	
65.297	2.25503e-006	
65.45	-6.05711e-009	
65.603	-2.32604e-006	
65.756	-4.19627e-006	
65.909	-5.1746e-006	
66.061	-4.9948e-006	
66.214	-3.70609e-006	
66.367	-1.6578e-006	
66.52	5.565e-007	
66.673	2.28749e-006	
66.826	3.03585e-006	
66.979	2.67849e-006	
67.132	1.43411e-006	
67.285	-7.36487e-008	
67.438	-1.251e-006	
67.591	-1.67498e-006	
67.744	-1.43507e-006	
67.896	-9.03066e-007	
68.049	-5.14425e-007	
68.202	-4.31268e-007	
68.355	-5.71755e-007	
68.508	-7.37074e-007	
